,Daily patronage by mode,,,,
,,,,,
,"• Patronage counts include HOP, contactless payments, and train line-to-line transfers.",,,,
,• Patronage counts include manual counts from replacement routes and data losses.,,,,
,"• Patronage counts exclude special events, and group travel on trains.",,,,
,,,,,
Date,Day,Bus,Train,Ferry,Grand Total
30 Jun 2024,Sun," 89,127 "," 4,758 "," 3,913 "," 97,798 "
29 Jun 2024,Sat," 107,732 "," 6,311 "," 5,164 "," 119,207 "
28 Jun 2024,Fri," 103,905 "," 5,760 "," 6,155 "," 115,820 "
27 Jun 2024,Thu," 230,160 "," 49,988 "," 8,391 "," 288,539 "
26 Jun 2024,Wed," 235,995 "," 48,927 "," 7,598 "," 292,520 "
25 Jun 2024,Tue," 232,619 "," 50,317 "," 7,926 "," 290,862 "
24 Jun 2024,Mon," 212,694 "," 46,705 "," 6,541 "," 265,940 "
23 Jun 2024,Sun," 83,196 "," 12,486 "," 3,321 "," 99,003 "
22 Jun 2024,Sat," 110,533 "," 19,946 "," 5,647 "," 136,126 "
21 Jun 2024,Fri," 222,284 "," 45,707 "," 7,514 "," 275,505 "
20 Jun 2024,Thu," 238,115 "," 49,951 "," 8,226 "," 296,292 "
19 Jun 2024,Wed," 246,072 "," 40,365 "," 7,875 "," 294,312 "
18 Jun 2024,Tue," 240,724 "," 49,995 "," 8,182 "," 298,901 "
17 Jun 2024,Mon," 219,551 "," 46,579 "," 6,844 "," 272,974 "
16 Jun 2024,Sun," 93,388 "," 5,641 "," 3,639 "," 102,668 "
15 Jun 2024,Sat," 112,956 "," 20,118 "," 4,697 "," 137,771 "
14 Jun 2024,Fri," 201,119 "," 40,566 "," 5,873 "," 247,558 "
13 Jun 2024,Thu," 239,061 "," 51,374 "," 7,832 "," 298,267 "
12 Jun 2024,Wed," 242,892 "," 53,951 "," 8,018 "," 304,861 "
11 Jun 2024,Tue," 240,120 "," 50,330 "," 8,047 "," 298,497 "
10 Jun 2024,Mon," 223,713 "," 44,125 "," 7,221 "," 275,059 "
09 Jun 2024,Sun," 73,947 "," 11,192 "," 2,321 "," 87,460 "
08 Jun 2024,Sat," 112,433 "," 20,112 "," 5,877 "," 138,422 "
